Department,Book Name,Author,Publisher,Accession No
Mechanical Engineering,Mechanical Engineering Advanced Book 153,A. Iyer,McGraw Hill,ACC000153
Agriculture,Agriculture Advanced Book 154,A. Iyer,Oxford,ACC000154
Psychology,Psychology Advanced Book 155,A. Iyer,Oxford,ACC000155
Management,Management Advanced Book 156,S. Sharma,Cambridge,ACC000156
Management,Management Advanced Book 157,A. Iyer,McGraw Hill,ACC000157
Hindi,Hindi Advanced Book 158,D. Patel,Springer,ACC000158
Chemical Engineering,Chemical Engineering Advanced Book 159,S. Sharma,Oxford,ACC000159
Political Science,Political Science Advanced Book 160,P. Singh,Cambridge,ACC000160
History,History Advanced Book 161,D. Patel,Cambridge,ACC000161
Political Science,Political Science Advanced Book 162,S. Sharma,Cambridge,ACC000162
Commerce,Commerce Advanced Book 163,R. Kumar,Cambridge,ACC000163
Chemical Engineering,Chemical Engineering Advanced Book 164,A. Iyer,Pearson,ACC000164
Political Science,Political Science Advanced Book 165,S. Sharma,Wiley,ACC000165
Political Science,Political Science Advanced Book 166,A. Iyer,McGraw Hill,ACC000166
Law,Law Advanced Book 167,P. Singh,Cambridge,ACC000167
Philosophy,Philosophy Advanced Book 168,R. Kumar,Pearson,ACC000168
Environmental Science,Environmental Science Advanced Book 169,P. Singh,Pearson,ACC000169
Chemistry,Chemistry Advanced Book 170,M. Khan,Pearson,ACC000170
Mechanical Engineering,Mechanical Engineering Advanced Book 171,J. Das,McGraw Hill,ACC000171
Sociology,Sociology Advanced Book 172,S. Sharma,Wiley,ACC000172
Artificial Intelligence,Artificial Intelligence Advanced Book 173,V. Rao,McGraw Hill,ACC000173
Mechanical Engineering,Mechanical Engineering Advanced Book 174,S. Sharma,Oxford,ACC000174
Artificial Intelligence,Artificial Intelligence Advanced Book 175,S. Sharma,Elsevier,ACC000175
Information Technology,Information Technology Advanced Book 176,P. Singh,Wiley,ACC000176
Tamil,Tamil Advanced Book 177,A. Iyer,Springer,ACC000177
Computer Science,Computer Science Advanced Book 178,J. Das,McGraw Hill,ACC000178
Nursing,Nursing Advanced Book 179,R. Kumar,Wiley,ACC000179
Environmental Science,Environmental Science Advanced Book 180,A. Iyer,Wiley,ACC000180
Chemical Engineering,Chemical Engineering Advanced Book 181,V. Rao,Cambridge,ACC000181
Sociology,Sociology Advanced Book 182,V. Rao,Elsevier,ACC000182
Mathematics,Mathematics Advanced Book 183,A. Iyer,Wiley,ACC000183
Architecture,Architecture Advanced Book 184,V. Rao,Cambridge,ACC000184
Information Technology,Information Technology Advanced Book 185,D. Patel,Elsevier,ACC000185
Information Technology,Information Technology Advanced Book 186,V. Rao,Pearson,ACC000186
Education,Education Advanced Book 187,M. Khan,McGraw Hill,ACC000187
Nursing,Nursing Advanced Book 188,A. Iyer,McGraw Hill,ACC000188
English,English Advanced Book 189,P. Singh,Cambridge,ACC000189
History,History Advanced Book 190,J. Das,Oxford,ACC000190
Electrical Engineering,Electrical Engineering Advanced Book 191,M. Khan,Cambridge,ACC000191
Law,Law Advanced Book 192,R. Kumar,Elsevier,ACC000192
Hindi,Hindi Advanced Book 193,R. Kumar,Elsevier,ACC000193
Electrical Engineering,Electrical Engineering Advanced Book 194,M. Khan,Springer,ACC000194
Environmental Science,Environmental Science Advanced Book 195,A. Iyer,Wiley,ACC000195
History,History Advanced Book 196,V. Rao,Springer,ACC000196
Environmental Science,Environmental Science Advanced Book 197,V. Rao,Elsevier,ACC000197
Economics,Economics Advanced Book 198,D. Patel,Oxford,ACC000198
Architecture,Architecture Advanced Book 199,P. Singh,Pearson,ACC000199
Mechanical Engineering,Mechanical Engineering Advanced Book 200,V. Rao,Springer,ACC000200
Electrical Engineering,Electrical Engineering Advanced Book 201,A. Iyer,Wiley,ACC000201
Biotechnology,Biotechnology Advanced Book 202,P. Singh,Wiley,ACC000202
Chemical Engineering,Chemical Engineering Advanced Book 203,V. Rao,Elsevier,ACC000203
Biotechnology,Biotechnology Advanced Book 204,J. Das,Springer,ACC000204
Chemistry,Chemistry Advanced Book 205,J. Das,McGraw Hill,ACC000205
Chemistry,Chemistry Advanced Book 206,S. Sharma,Pearson,ACC000206
Electrical Engineering,Electrical Engineering Advanced Book 207,V. Rao,Springer,ACC000207
Philosophy,Philosophy Advanced Book 208,R. Kumar,Wiley,ACC000208
Law,Law Advanced Book 209,J. Das,Elsevier,ACC000209
Chemistry,Chemistry Advanced Book 210,S. Sharma,Springer,ACC000210
Electronics,Electronics Advanced Book 211,V. Rao,Elsevier,ACC000211
Artificial Intelligence,Artificial Intelligence Advanced Book 212,R. Kumar,Wiley,ACC000212
Mathematics,Mathematics Advanced Book 213,R. Kumar,McGraw Hill,ACC000213
Physics,Physics Advanced Book 214,M. Khan,Springer,ACC000214
Pharmacy,Pharmacy Advanced Book 215,A. Iyer,Pearson,ACC000215
Physics,Physics Advanced Book 216,A. Iyer,Cambridge,ACC000216
Mechanical Engineering,Mechanical Engineering Advanced Book 217,A. Iyer,Elsevier,ACC000217
English,English Advanced Book 218,V. Rao,Cambridge,ACC000218
Artificial Intelligence,Artificial Intelligence Advanced Book 219,S. Sharma,Wiley,ACC000219
Philosophy,Philosophy Advanced Book 220,P. Singh,Pearson,ACC000220
Nursing,Nursing Advanced Book 221,M. Khan,Cambridge,ACC000221
Physics,Physics Advanced Book 222,P. Singh,Cambridge,ACC000222
Hindi,Hindi Advanced Book 223,A. Iyer,McGraw Hill,ACC000223
Physics,Physics Advanced Book 224,S. Sharma,Oxford,ACC000224
Physics,Physics Advanced Book 225,A. Iyer,Wiley,ACC000225
Data Science,Data Science Advanced Book 226,D. Patel,Pearson,ACC000226
Artificial Intelligence,Artificial Intelligence Advanced Book 227,S. Sharma,Cambridge,ACC000227
Information Technology,Information Technology Advanced Book 228,P. Singh,Pearson,ACC000228
Nursing,Nursing Advanced Book 229,P. Singh,Elsevier,ACC000229
Hindi,Hindi Advanced Book 230,A. Iyer,Wiley,ACC000230
Education,Education Advanced Book 231,V. Rao,Springer,ACC000231
Hindi,Hindi Advanced Book 232,V. Rao,Springer,ACC000232
Computer Science,Computer Science Advanced Book 233,P. Singh,Elsevier,ACC000233
Architecture,Architecture Advanced Book 234,D. Patel,Wiley,ACC000234
Information Technology,Information Technology Advanced Book 235,M. Khan,Wiley,ACC000235
Artificial Intelligence,Artificial Intelligence Advanced Book 236,R. Kumar,Cambridge,ACC000236
Electronics,Electronics Advanced Book 237,D. Patel,Wiley,ACC000237
Artificial Intelligence,Artificial Intelligence Advanced Book 238,S. Sharma,Springer,ACC000238
Chemical Engineering,Chemical Engineering Advanced Book 239,R. Kumar,Wiley,ACC000239
Information Technology,Information Technology Advanced Book 240,A. Iyer,Elsevier,ACC000240
Computer Science,Computer Science Advanced Book 241,A. Iyer,Springer,ACC000241
Political Science,Political Science Advanced Book 242,M. Khan,McGraw Hill,ACC000242
Philosophy,Philosophy Advanced Book 243,D. Patel,Pearson,ACC000243
Economics,Economics Advanced Book 244,D. Patel,Elsevier,ACC000244
Mechanical Engineering,Mechanical Engineering Advanced Book 245,S. Sharma,Cambridge,ACC000245
Law,Law Advanced Book 246,D. Patel,Springer,ACC000246
Law,Law Advanced Book 247,A. Iyer,Pearson,ACC000247
Physics,Physics Advanced Book 248,V. Rao,Elsevier,ACC000248
Political Science,Political Science Advanced Book 249,D. Patel,Pearson,ACC000249
English,English Advanced Book 250,R. Kumar,Elsevier,ACC000250
Commerce,Commerce Advanced Book 251,D. Patel,McGraw Hill,ACC000251
Data Science,Data Science Advanced Book 252,A. Iyer,Elsevier,ACC000252
Computer Science,Computer Science Advanced Book 253,A. Iyer,Springer,ACC000253
Artificial Intelligence,Artificial Intelligence Advanced Book 254,D. Patel,Springer,ACC000254
Education,Education Advanced Book 255,V. Rao,Wiley,ACC000255
Architecture,Architecture Advanced Book 256,S. Sharma,Wiley,ACC000256
Sociology,Sociology Advanced Book 257,J. Das,Cambridge,ACC000257
Electrical Engineering,Electrical Engineering Advanced Book 258,P. Singh,Oxford,ACC000258
Artificial Intelligence,Artificial Intelligence Advanced Book 259,S. Sharma,Wiley,ACC000259
Sociology,Sociology Advanced Book 260,A. Iyer,Springer,ACC000260
Physics,Physics Advanced Book 261,S. Sharma,Cambridge,ACC000261
Physics,Physics Advanced Book 262,V. Rao,Oxford,ACC000262
Mathematics,Mathematics Advanced Book 263,V. Rao,Pearson,ACC000263
Economics,Economics Advanced Book 264,M. Khan,McGraw Hill,ACC000264
Environmental Science,Environmental Science Advanced Book 265,V. Rao,McGraw Hill,ACC000265
Management,Management Advanced Book 266,M. Khan,Oxford,ACC000266
Law,Law Advanced Book 267,R. Kumar,Cambridge,ACC000267
Economics,Economics Advanced Book 268,R. Kumar,Elsevier,ACC000268
Nursing,Nursing Advanced Book 269,J. Das,Springer,ACC000269
Information Technology,Information Technology Advanced Book 270,M. Khan,Pearson,ACC000270
Architecture,Architecture Advanced Book 271,P. Singh,Elsevier,ACC000271
Chemistry,Chemistry Advanced Book 272,S. Sharma,Pearson,ACC000272
Electrical Engineering,Electrical Engineering Advanced Book 273,J. Das,Oxford,ACC000273
Political Science,Political Science Advanced Book 274,P. Singh,Springer,ACC000274
Civil Engineering,Civil Engineering Advanced Book 275,J. Das,Cambridge,ACC000275
Electronics,Electronics Advanced Book 276,J. Das,Elsevier,ACC000276
Nursing,Nursing Advanced Book 277,J. Das,Pearson,ACC000277
Data Science,Data Science Advanced Book 278,R. Kumar,Wiley,ACC000278
Artificial Intelligence,Artificial Intelligence Advanced Book 279,M. Khan,Elsevier,ACC000279
Chemical Engineering,Chemical Engineering Advanced Book 280,S. Sharma,Pearson,ACC000280
Pharmacy,Pharmacy Advanced Book 281,R. Kumar,Pearson,ACC000281
Physics,Physics Advanced Book 282,J. Das,McGraw Hill,ACC000282
Nursing,Nursing Advanced Book 283,A. Iyer,Elsevier,ACC000283
Mathematics,Mathematics Advanced Book 284,A. Iyer,Springer,ACC000284
Civil Engineering,Civil Engineering Advanced Book 285,J. Das,McGraw Hill,ACC000285
Commerce,Commerce Advanced Book 286,J. Das,Wiley,ACC000286
Philosophy,Philosophy Advanced Book 287,M. Khan,Springer,ACC000287
Commerce,Commerce Advanced Book 288,J. Das,Pearson,ACC000288
Chemistry,Chemistry Advanced Book 289,V. Rao,Cambridge,ACC000289
Tamil,Tamil Advanced Book 290,J. Das,McGraw Hill,ACC000290
Commerce,Commerce Advanced Book 291,R. Kumar,Elsevier,ACC000291
Commerce,Commerce Advanced Book 292,J. Das,Pearson,ACC000292
Economics,Economics Advanced Book 293,A. Iyer,Elsevier,ACC000293
Chemical Engineering,Chemical Engineering Advanced Book 294,D. Patel,Springer,ACC000294
Education,Education Advanced Book 295,D. Patel,McGraw Hill,ACC000295
Chemical Engineering,Chemical Engineering Advanced Book 296,J. Das,Wiley,ACC000296
Nursing,Nursing Advanced Book 297,A. Iyer,McGraw Hill,ACC000297
Chemistry,Chemistry Advanced Book 298,M. Khan,Elsevier,ACC000298
Artificial Intelligence,Artificial Intelligence Advanced Book 299,R. Kumar,Oxford,ACC000299
Biotechnology,Biotechnology Advanced Book 300,V. Rao,Elsevier,ACC000300
Education,Education Advanced Book 301,J. Das,Elsevier,ACC000301
Environmental Science,Environmental Science Advanced Book 302,S. Sharma,Pearson,ACC000302
Computer Science,Computer Science Advanced Book 303,V. Rao,Pearson,ACC000303
Education,Education Advanced Book 304,P. Singh,Oxford,ACC000304
Architecture,Architecture Advanced Book 305,V. Rao,McGraw Hill,ACC000305
Environmental Science,Environmental Science Advanced Book 306,A. Iyer,Elsevier,ACC000306
Mechanical Engineering,Mechanical Engineering Advanced Book 307,P. Singh,Cambridge,ACC000307
Biotechnology,Biotechnology Advanced Book 308,S. Sharma,Oxford,ACC000308
Civil Engineering,Civil Engineering Advanced Book 309,J. Das,Pearson,ACC000309
Data Science,Data Science Advanced Book 310,D. Patel,Oxford,ACC000310
Psychology,Psychology Advanced Book 311,A. Iyer,Elsevier,ACC000311
Artificial Intelligence,Artificial Intelligence Advanced Book 312,S. Sharma,Elsevier,ACC000312
Data Science,Data Science Advanced Book 313,R. Kumar,Springer,ACC000313
Artificial Intelligence,Artificial Intelligence Advanced Book 314,P. Singh,Elsevier,ACC000314
History,History Advanced Book 315,M. Khan,McGraw Hill,ACC000315
Political Science,Political Science Advanced Book 316,J. Das,Elsevier,ACC000316
Data Science,Data Science Advanced Book 317,J. Das,Springer,ACC000317
Electrical Engineering,Electrical Engineering Advanced Book 318,R. Kumar,Springer,ACC000318
Information Technology,Information Technology Advanced Book 319,R. Kumar,McGraw Hill,ACC000319
Civil Engineering,Civil Engineering Advanced Book 320,R. Kumar,Springer,ACC000320
Data Science,Data Science Advanced Book 321,S. Sharma,Springer,ACC000321
Physics,Physics Advanced Book 322,P. Singh,Oxford,ACC000322
Mathematics,Mathematics Advanced Book 323,J. Das,Pearson,ACC000323
Physics,Physics Advanced Book 324,S. Sharma,Oxford,ACC000324
Law,Law Advanced Book 325,A. Iyer,Cambridge,ACC000325
Political Science,Political Science Advanced Book 326,P. Singh,Cambridge,ACC000326
Electrical Engineering,Electrical Engineering Advanced Book 327,D. Patel,Cambridge,ACC000327
Electronics,Electronics Advanced Book 328,P. Singh,Elsevier,ACC000328
Chemical Engineering,Chemical Engineering Advanced Book 329,D. Patel,McGraw Hill,ACC000329
Chemical Engineering,Chemical Engineering Advanced Book 330,P. Singh,Cambridge,ACC000330
Information Technology,Information Technology Advanced Book 331,S. Sharma,Pearson,ACC000331
Tamil,Tamil Advanced Book 332,R. Kumar,Elsevier,ACC000332
Hindi,Hindi Advanced Book 333,R. Kumar,Pearson,ACC000333
Tamil,Tamil Advanced Book 334,M. Khan,Oxford,ACC000334
Education,Education Advanced Book 335,R. Kumar,Springer,ACC000335
Physics,Physics Advanced Book 336,R. Kumar,Elsevier,ACC000336
Biotechnology,Biotechnology Advanced Book 337,M. Khan,Cambridge,ACC000337
Artificial Intelligence,Artificial Intelligence Advanced Book 338,P. Singh,Cambridge,ACC000338
Tamil,Tamil Advanced Book 339,M. Khan,Oxford,ACC000339
Management,Management Advanced Book 340,V. Rao,McGraw Hill,ACC000340
Biotechnology,Biotechnology Advanced Book 341,V. Rao,Wiley,ACC000341
Biotechnology,Biotechnology Advanced Book 342,D. Patel,Springer,ACC000342
History,History Advanced Book 343,D. Patel,Pearson,ACC000343
Information Technology,Information Technology Advanced Book 344,S. Sharma,Oxford,ACC000344
Philosophy,Philosophy Advanced Book 345,V. Rao,McGraw Hill,ACC000345
Tamil,Tamil Advanced Book 346,R. Kumar,Pearson,ACC000346
Political Science,Political Science Advanced Book 347,V. Rao,Springer,ACC000347
Hindi,Hindi Advanced Book 348,P. Singh,Oxford,ACC000348
Hindi,Hindi Advanced Book 349,J. Das,Cambridge,ACC000349
Hindi,Hindi Advanced Book 350,P. Singh,Cambridge,ACC000350
Electronics,Electronics Advanced Book 351,A. Iyer,Wiley,ACC000351
Computer Science,Computer Science Advanced Book 352,M. Khan,Springer,ACC000352
Data Science,Data Science Advanced Book 353,P. Singh,Elsevier,ACC000353
Artificial Intelligence,Artificial Intelligence Advanced Book 354,J. Das,Elsevier,ACC000354
Nursing,Nursing Advanced Book 355,J. Das,Wiley,ACC000355
English,English Advanced Book 356,R. Kumar,Wiley,ACC000356
Data Science,Data Science Advanced Book 357,M. Khan,Wiley,ACC000357
Data Science,Data Science Advanced Book 358,J. Das,Elsevier,ACC000358
Hindi,Hindi Advanced Book 359,P. Singh,Oxford,ACC000359
Philosophy,Philosophy Advanced Book 360,A. Iyer,Pearson,ACC000360
Biotechnology,Biotechnology Advanced Book 361,D. Patel,Oxford,ACC000361
Agriculture,Agriculture Advanced Book 362,A. Iyer,Wiley,ACC000362
Information Technology,Information Technology Advanced Book 363,M. Khan,McGraw Hill,ACC000363
Computer Science,Computer Science Advanced Book 364,V. Rao,Wiley,ACC000364
Civil Engineering,Civil Engineering Advanced Book 365,R. Kumar,Oxford,ACC000365
Physics,Physics Advanced Book 366,P. Singh,McGraw Hill,ACC000366
Physics,Physics Advanced Book 367,M. Khan,Springer,ACC000367
Mathematics,Mathematics Advanced Book 368,R. Kumar,Oxford,ACC000368
Nursing,Nursing Advanced Book 369,J. Das,Cambridge,ACC000369
Sociology,Sociology Advanced Book 370,J. Das,Springer,ACC000370
Nursing,Nursing Advanced Book 371,M. Khan,Elsevier,ACC000371
Law,Law Advanced Book 372,S. Sharma,Pearson,ACC000372
Law,Law Advanced Book 373,S. Sharma,Elsevier,ACC000373
Environmental Science,Environmental Science Advanced Book 374,J. Das,Oxford,ACC000374
